10000.	95.5	106.75	106.75	106.75
5000.	95.49	106.75	106.75	106.75
2000.	95.47	106.74	106.73	106.74
1000.	95.39	106.72	106.65	106.7
500.	95.11	106.61	106.38	106.56
200.	93.55	105.9	104.75	105.61
100.	89.89	103.53	100.8	102.85
50.	83.53	97.4	93.94	96.53
20.	77.39	88.45	87.22	88.14
10.	76.2	86.22	85.85	86.13
5.	75.27	85.6	84.68	85.37
2.	71.14	82.5	79.69	81.8
1.	65.37	76.34	72.97	75.5
0.5	59.69	69.26	66.43	68.55
0.14	16.96	23.77	19.05	22.59
0.13	16.16	21.76	18.16	20.86
0.1	14.39	18.	16.21	17.55
0.05	11.87	14.63	13.4	14.32
0.02	9.71	11.33	10.99	11.25
0.01	9.5	10.76	10.75	10.76
0.005	9.49	10.74	10.73	10.74
0.002	9.43	10.71	10.65	10.7
0.001	9.22	10.6	10.36	10.56
0.0005	8.53	10.16	9.43	10.03
0.0002	5.97	7.66	6.2	7.55
0.0001	4.03	4.46	3.84	4.78
0.00005	3.64	3.39	3.37	3.93
0.00002	3.64	3.36	3.36	3.91
0.00001	3.64	3.36	3.36	3.91
